title,author,year,citation
Development of plasma cell-free DNA (cfDNA) assays for early cancer detection: first insights from the Circulating Cell-Free Genome Atlas Study (CCGA),Robert Tibshirani,2018,49
Nuclear penalized multinomial regression with an application to predicting at bat outcomes in baseball,Robert Tibshirani,2018,44
Multicenter Study Using Desorption-Electrospray-Ionization-Mass-Spectrometry Imaging for Breast-Cancer Diagnosis,Robert Tibshirani,2018,43
A proteomic clock of human pregnancy,Robert Tibshirani,2018,42
Some methods for heterogeneous treatment effect estimation in high dimensions,Robert Tibshirani,2018,41
SUPERVISED LEARNING VIA THE “HUBNET” PROCEDURE,Robert Tibshirani,2018,35
Noninvasive blood tests for fetal development predict gestational age and preterm delivery,Robert Tibshirani,2018,31
Development and preliminary validation of a multi-trophic metabarcoding biotic index for monitoring benthic organic enrichment,Robert Tibshirani,2018,30
"Post model-fitting exploration via a"" Next-Door"" analysis",Robert Tibshirani,2018,25
Spectral analysis of non-stationary time series,Robert Tibshirani,2018,24
Posterior odds ratios for selected regression hypotheses,Robert Tibshirani,2019,22
DRUG-NEM: Optimizing drug combinations using single-cell perturbation response to account for intratumoral heterogeneity,Robert Tibshirani,2018,22
Post‐selection inference for‐penalized likelihood models,Robert Tibshirani,2018,22
Reply to Vickers: Pharmacogenetics and progression to neovascular age-related macular degeneration—Evidence supporting practice change,Robert Tibshirani,2018,18
Single-cell developmental classification of B cell precursor acute lymphoblastic leukemia at diagnosis reveals predictors of relapse,Robert Tibshirani,2018,18
Smooth non-parametric receiver operating characteristic (ROC) curves for continuous diagnostic tests,Robert Tibshirani,2019,16
"Log‐ratio Lasso: Scalable, Sparse Estimation for Log‐ratio Models",Robert Tibshirani,2018,16
Distinguishing malignant from benign microscopic skin lesions using desorption electrospray ionization mass spectrometry imaging,Robert Tibshirani,2018,15
A general framework for estimation and inference from clusters of features,Robert Tibshirani,2018,15
Methods for analyzing matched designs with double controls: excess risk is easily estimated and misinterpreted when evaluating traffic deaths,Robert Tibshirani,2018,14
CFH and ARMS2 genetic risk determines progression to neovascular age-related macular degeneration after antioxidant and zinc supplementation,Robert Tibshirani,2018,14
A Fast and Flexible Algorithm for Solving the Lasso in Large-scale and Ultrahigh-dimensional Problems,Robert Tibshirani,2019,12
Regularization and variable selection via the elastic net,Robert Tibshirani,2018,10
Genomic feature selection by coverage design optimization,Robert Tibshirani,2018,8
Imbalance control in clinical trial subject randomization—from philosophy to strategy,Robert Tibshirani,2018,8
Package ‘glasso’,Robert Tibshirani,2018,8
Analyzing excess risk from matched designs with double controls: author's response,Robert Tibshirani,2019,7
Package ‘GSA’,Robert Tibshirani,2019,7
Mapping Lung Cancer Epithelial-Mesenchymal Transition States and Trajectories with Single-Cell Resolution,Robert Tibshirani,2019,7
"Desensitization rates to peanut protein during OIT among children, adolescents, and adults",Robert Tibshirani,2019,6
Single-Cell Developmental Classification of B-Cell Precursor Acute Lymphoblastic Leukemia at Diagnosis Reveals Predictors of Relapse,Robert Tibshirani,2018,6
Abstract LB-343: Development of plasma cell-free DNA (cfDNA) assays for early cancer detection: first insights from the Circulating Cell-Free Genome Atlas Study (CCGA),Robert Tibshirani,2018,6
Genetics of 38 blood and urine biomarkers in the UK Biobank,Robert Tibshirani,2019,5
Single-Cell Developmental Classification of B-Cell Precursor Acute Lymphoblastic Leukemia at Diagnosis Reveals Predictors of Relapse,Robert Tibshirani,2018,5
Found In Translation: a machine learning model for mouse-to-human inference,Robert Tibshirani,2018,4
Main effects and interactions in mixed and incomplete data frames,Robert Tibshirani,2019,3
Proliferation tracing with single-cell mass cytometry optimizes generation of stem cell memory-like T cells,Robert Tibshirani,2019,3
A latent factor approach for prediction from multiple assays,Robert Tibshirani,2018,3
"Multiomics modeling of the immunome, transcriptome, microbiome, proteome and metabolome adaptations during human pregnancy",Robert Tibshirani,2018,3
THE ANNALS,Robert Tibshirani,2018,3
Preoperative Metabolic Classification of Thyroid Nodules Using Mass Spectrometry Imaging of Fine Needle Aspiration Biopsies: A Prospective Cohort Study,Robert Tibshirani,2019,2
Package ‘samr’,Robert Tibshirani,2018,2
Package ‘clusterRepro’,Robert Tibshirani,2018,2
A pliable lasso for the Cox model,Robert Tibshirani,2018,2
Standard particle swarm optimisation 2011 at CEC-2013: A baseline for future PSO improvements,Robert Tibshirani,2019,1
Genomic analysis of benign prostatic hyperplasia implicates cellular re-landscaping in disease pathogenesis,Robert Tibshirani,2019,1
Prediction and outlier detection: a distribution-free prediction set with a balanced objective,Robert Tibshirani,2019,1
Shaping of infant B cell receptor repertoires by environmental factors and infectious disease,Robert Tibshirani,2019,1
Reply to J. Wang et al.,Robert Tibshirani,2019,1
Principal component-guided sparse regression,Robert Tibshirani,2018,1
"More powerful post-selection inference, with application to the lasso",Robert Tibshirani,2018,1
De novo mutational signature discovery in tumor genomes using SparseSignatures,Robert Tibshirani,2018,1
EVERYTHING YOU NEED IN ONE PLACE,Geoffrey Hinton,2017,15940
Human activity recognition based on feature selection in smart home using back-propagation algorithm.,Geoffrey Hinton,2016,12704
Updated Edition,Geoffrey Hinton,2014,5908
Imagenet classification with deep convolutional neural,Geoffrey Hinton,2014,3891
A simple way to initialize recurrent networks of rectified linear units,Geoffrey Hinton,2015,3848
Models of information processing in the brain,Geoffrey Hinton,2014,2388
Outrageously large neural networks: The sparsely-gated mixture-of-experts layer,Geoffrey Hinton,2017,1890
Where do features come from?,Geoffrey Hinton,2014,1799
Distilling a neural network into a soft decision tree,Geoffrey Hinton,2017,882
Distilling the knowledge in a neural network,Geoffrey Hinton,2015,784
Fuzzy Sets,Geoffrey Hinton,2018,689
Deep learning,Geoffrey Hinton,2015,554
Regularizing neural networks by penalizing confident output distributions,Geoffrey Hinton,2017,539
Guest editorial: deep learning,Geoffrey Hinton,2015,372
Introduction to the updated edition,Geoffrey Hinton,2014,351
System and method for parallelizing convolutional neural networks,Geoffrey Hinton,2017,333
Comparison of multiobjective evolutionary algorithms: Empirical results,Geoffrey Hinton,2018,278
Dynamic routing between capsules,Geoffrey Hinton,2017,264
Package ‘darch’,Geoffrey Hinton,2016,263
System and method for addressing overfitting in a neural network,Geoffrey Hinton,2016,224
"Will retinal implants restore vision?[Research Support, Non-US Gov’t Review]",Geoffrey Hinton,2017,181
Using an autoencoder with deformable templates to discover features for automated speech recognition.,Geoffrey Hinton,2013,157
Using fast weights to attend to the recent past,Geoffrey Hinton,2016,156
Illustrative Language Understanding: Large-Scale Visual Grounding with Google Image Search,Geoffrey Hinton,2018,149
"Gender, equity and the boys’ debate. What sort of challenge is it?",Geoffrey Hinton,2016,148
Targeted Dropout,Geoffrey Hinton,2018,134
Modeling documents with deep boltzmann machines,Geoffrey Hinton,2013,129
Deep learning,Geoffrey Hinton,2015,128
Autoregressive product of multi-frame predictions can improve the accuracy of hybrid models,Geoffrey Hinton,2014,128
Speech recognition with deep recurrent neural networks,Geoffrey Hinton,2013,128
Dropout: a simple way to prevent neural networks from overfitting,Geoffrey Hinton,2014,112
Storage and processing of information in distributed associative memory systems,Geoffrey Hinton,2014,94
Large scale distributed neural network training through online distillation,Geoffrey Hinton,2018,93
Illustrative Language Understanding: Large-Scale Visual Grounding with Image Search,Geoffrey Hinton,2018,78
Visualizing data using t-SNE,Geoffrey Hinton,2017,63
Recognition of isolated handwritten characters in gurmukhi script.,Geoffrey Hinton,2017,60
Similarity of neural network representations revisited,Geoffrey Hinton,2019,55
The CIFAR-10 dataset,Geoffrey Hinton,2014,55
Dark knowledge,Geoffrey Hinton,2014,52
Experiments in Animal Magnetism,Geoffrey Hinton,2014,45
DARCCC: Detecting Adversaries by Reconstruction from Class Conditional Capsules,Geoffrey Hinton,2018,43
"Attend, infer, repeat: Fast scene understanding with generative models",Geoffrey Hinton,2016,43
Deterministic Boltzmann Learning in Networks with Asymmetric Connectivity,Geoffrey Hinton,2014,34
Bilingual lexical interactions in an unsupervised neural network model,Geoffrey Hinton,2019,32
Deep learning—a technology with the potential to transform health care,Geoffrey Hinton,2018,29
Who said what: Modeling individual labelers improves classification,Geoffrey Hinton,2018,28
System and method for generating training cases for image classification,Geoffrey Hinton,2016,21
Training distilled machine learning models,Geoffrey Hinton,2015,18
System and method for labelling aerial images,Geoffrey Hinton,2017,17
A probabilistic approach to systems of parameters and Noether normalization,Geoffrey Hinton,2016,14
Matrix capsules with EM routing,Geoffrey Hinton,2018,13
Assessing the scalability of biologically-motivated deep learning algorithms and architectures,Geoffrey Hinton,2018,12
System and method for parallelizing convolutional neural networks,Geoffrey Hinton,2017,11
Vocal tract length perturbation (VTLP) improves speech recognition,Geoffrey Hinton,2013,10
Learning Sparse Networks Using Targeted Dropout,Geoffrey Hinton,2019,9
Large scale distributed neural network training through online distillation,Geoffrey Hinton,2018,9
Study on probability distributions for evolution in modified extremal optimization,Geoffrey Hinton,2016,9
Generative multiple-instance learning models for quantitative electromyography,Geoffrey Hinton,2013,9
Distilling a Neural Network Into a Soft Decision Tree,Geoffrey Hinton,2017,7
Parallelizing neural networks during training,Geoffrey Hinton,2017,6
time (min.),Geoffrey Hinton,2014,5
New types of deep neural network learning for speech recognition and related applications: An overview,Geoffrey Hinton,2013,5
Layer normalization,Geoffrey Hinton,2016,4
Application of deep belief networks for natural language understanding,Geoffrey Hinton,2014,4
On rectified linear units for speech processing,Geoffrey Hinton,2013,4
Cerberus: A Multi-headed Derenderer,Geoffrey Hinton,2019,3
Analyzing and Improving Representations with the Soft Nearest Neighbor Loss,Geoffrey Hinton,2019,3
"Halko, N., Martinsson, P., Tropp, J.: Finding structure with randomness: prob-abilistic algorithms for constructing approximate matrix decompositions. SIAM Rev. 53 (2), 217–288 …",Geoffrey Hinton,2018,3
Matrix capsules with EM routing,Geoffrey Hinton,2018,3
Connectionist Models: Proceedings of the 1990 Summer School,Geoffrey Hinton,2014,3
Modeling natural images using gated MRFs,Geoffrey Hinton,2013,3
Stacked Capsule Autoencoders,Geoffrey Hinton,2019,2
When Does Label Smoothing Help?,Geoffrey Hinton,2019,2
System and method for addressing overfitting in a neural network,Geoffrey Hinton,2016,2
Grammar as a foreign language,Geoffrey Hinton,2015,2
Learning shape abstractions by assembling volumetric primitives,Jitendra Malik,2017,36535
Learning to optimize,Jitendra Malik,2016,825
Cognitive mapping and planning for visual navigation,Jitendra Malik,2017,282
Readings,Jitendra Malik,2017,225
Deep learning for computer vision,Jitendra Malik,2017,211
Learning a multi-view stereo machine,Jitendra Malik,2017,186
Feedback networks,Jitendra Malik,2017,177
End-to-end recovery of human shape and pose,Jitendra Malik,2018,171
Multi-view consistency as supervisory signal for learning shape and pose prediction,Jitendra Malik,2018,145
35‐2: ,Jitendra Malik,2016,141
Precomputed shadow ﬁelds for dynamic scenes,Jitendra Malik,2017,131
A Study of Robustness of Neural Nets Using Approximate Feature Collisions,Jitendra Malik,2018,124
Cost-Sensitive Active Learning for Intracranial Hemorrhage Detection,Jitendra Malik,2018,105
Ava: A video dataset of spatio-temporally localized atomic visual actions,Jitendra Malik,2018,102
Structure-Aware 3D Hand Pose Regression from a Single Depth Image,Jitendra Malik,2018,97
View synthesis by appearance flow,Jitendra Malik,2016,95
Low-Energy Graph Fourier Basis Functions Span Salient Objects,Jitendra Malik,2018,80
Multi-view supervision for single-view reconstruction via differentiable ray consistency,Jitendra Malik,2017,75
Learning category-specific mesh reconstruction from image collections,Jitendra Malik,2018,64
Combining self-supervised learning and imitation for vision-based rope manipulation,Jitendra Malik,2017,59
"Factoring shape, pose, and layout from the 2d image of a 3d scene",Jitendra Malik,2018,54
Super-Resolution via Conditional Implicit Maximum Likelihood Estimation,Jitendra Malik,2018,52
Learning category-specific deformable 3d models for object reconstruction,Jitendra Malik,2016,50
Fully Automatic Multi-person Human Motion Capture for VR Applications,Jitendra Malik,2018,48
Unifying map and landmark based representations for visual navigation,Jitendra Malik,2017,48
From lifestyle vlogs to everyday interactions,Jitendra Malik,2018,43
VisDA: A Synthetic-to-Real Benchmark for Visual Domain Adaptation,Jitendra Malik,2018,41
3DAirSig: A Framework for Enabling In-Air Signatures Using a Multi-Modal Depth Sensor,Jitendra Malik,2018,38
More than a feeling: Learning to grasp and regrasp using vision and touch,Jitendra Malik,2018,35
Learning to optimize neural nets,Jitendra Malik,2017,35
Learning instance segmentation by interaction,Jitendra Malik,2018,34
Contextual visual recognition from images and videos,Jitendra Malik,2016,33
Fast k-nearest neighbour search via prioritized DCI,Jitendra Malik,2017,30
Learning 3d human dynamics from video,Jitendra Malik,2019,29
Large-scale 3d shape reconstruction and segmentation from shapenet core55,Jitendra Malik,2017,27
Amodal instance segmentation,Jitendra Malik,2016,27
DeepHPS: End-to-end Estimation of 3D Hand Pose and Shape by Learning from Synthetic Depth,Jitendra Malik,2018,24
Trajectory Normalized Gradients for Distributed Optimization,Jitendra Malik,2019,22
Category independent object proposals using quantum superposition,Jitendra Malik,2017,21
Implicit maximum likelihood estimation,Jitendra Malik,2018,20
Combining Optimal Control and Learning for Visual Navigation in Novel Environments,Jitendra Malik,2019,19
Habitat: A platform for embodied ai research,Jitendra Malik,2019,17
Accelerated Sparse Recovery Under Structured Measurements,Jitendra Malik,2018,17
On evaluation of embodied navigation agents,Jitendra Malik,2018,17
Hierarchical surface prediction for 3d object reconstruction,Jitendra Malik,2017,17
What will happen next? forecasting player moves in sports videos,Jitendra Malik,2017,17
Zero-shot visual imitation,Jitendra Malik,2018,15
Beyond skip connections: Top-down modulation for object detection,Jitendra Malik,2016,13
Investigating Deep Reinforcement Learning For Grasping Objects With An Anthropomorphic Hand,Jitendra Malik,2018,9
Learning Independent Object Motion from Unlabelled Stereoscopic Videos,Jitendra Malik,2019,8
PatchFCN for intracranial hemorrhage detection,Jitendra Malik,2018,8
Mesh R-CNN,Jitendra Malik,2019,5
Diverse Image Synthesis from Semantic Layouts via Conditional IMLE,Jitendra Malik,2018,5
ShapeMask: Learning to Segment Novel Objects by Refining Shape Priors,Jitendra Malik,2019,4
Hierarchical Surface Prediction,Jitendra Malik,2019,4
Non-Adversarial Image Synthesis with Generative Latent Nearest Neighbors,Jitendra Malik,2019,4
On the Implicit Assumptions of GANs,Jitendra Malik,2018,4
Convolutional neural networks represent shape dimensions—but not as accurately as humans,Jitendra Malik,2018,4
Visual memory for robust path following,Jitendra Malik,2018,4
Gibson Env: Real-world perception for embodied agents,Jitendra Malik,2018,4
Generic 3d representation via pose estimation and matching,Jitendra Malik,2016,4
Learning Navigation Subroutines by Watching Videos,Jitendra Malik,2019,3
3D Quantum Cuts for Automatic Segmentation of Porous Media in Tomography Images,Jitendra Malik,2019,3
Are all training examples created equal? an empirical study,Jitendra Malik,2018,3
Cognitive Mapping and Planning for Visual Navigation Supplementary Material,Jitendra Malik,2017,3
Fast k-nearest neighbour search via dynamic continuous indexing,Jitendra Malik,2016,3
Colorectal cancer diagnosis from histology images: A comparative study,Jitendra Malik,2019,2
Investigations on Feature Extractions and Matching for Palmprint Based Biometric,Jitendra Malik,2018,2
Technical Perspective: What led computer vision to deep learning?,Jitendra Malik,2017,2
Attention and performance XIII: Motor representation and control,Michael I. Jordan,2020,245
Object instance segmentation and fine-grained localization using hypercolumns,Jitendra Malik,2016,2
Which Tasks Should Be Learned Together in Multi-task Learning?,Jitendra Malik,2019,1
Structure from Articulated Motion: An Accurate and Stable Monocular 3D Reconstruction Approach without Training Data,Jitendra Malik,2019,1
Hierarchical Surface Prediction,Jitendra Malik,2019,1
Learning Individual Styles of Conversational Gesture,Jitendra Malik,2019,1
Mid-Level Visual Representations Improve Generalization and Sample Efficiency for Learning Active Tasks,Jitendra Malik,2018,1
SlowFast networks for video recognition,Jitendra Malik,2018,1
Sfv: Reinforcement learning of physical skills from videos,Jitendra Malik,2018,1
Taskonomy: Disentangling task transfer learning,Jitendra Malik,2018,1
Simultaneous hand pose and skeleton bone-lengths estimation from a single depth image,Jitendra Malik,2017,1
"On nonlinear dimensionality reduction, linear smoothing and autoencoding",Michael I. Jordan,2018,75
A Deep Generative Model for Semi-Supervised Classification with Noisy Labels,Michael I. Jordan,2018,67
"Dynamical, Symplectic and Stochastic Perspectives on Gradient-Based Optimization",Michael I. Jordan,2018,61
Greedy attack and gumbel attack: Generating adversarial examples for discrete data,Michael I. Jordan,2018,60
Fundamental limits of detection in the spiked Wigner model,Michael I. Jordan,2018,51
Sampling can be faster than optimization,Michael I. Jordan,2018,47
Transferable representation learning with deep adaptation networks,Michael I. Jordan,2018,45
Boundary attack++: Query-efficient decision-based adversarial attack,Michael I. Jordan,2019,39
Bridging Theory and Algorithm for Domain Adaptation,Michael I. Jordan,2019,36
Probabilistic multilevel clustering via composite transportation distance,Michael I. Jordan,2018,35
First-order methods almost always avoid strict saddle points,Michael I. Jordan,2019,34
Harmonization and Annotation of Single-cell Transcriptomics data with Deep Generative Models,Michael I. Jordan,2018,34
"Semialgebraic statistics and latent tree models, Volume 146 of Monographs on Statistics and Applied Probability",Michael I. Jordan,2018,32
Latent dirichlet allocation,Michael I. Jordan,2018,25
Averaging stochastic gradient descent on Riemannian manifolds,Michael I. Jordan,2018,24
Accelerated primal-dual coordinate descent for computational optimal transport,Michael I. Jordan,2019,22
Theoretically principled trade-off between robustness and accuracy,Michael I. Jordan,2019,22
Deep generative modeling for single-cell transcriptomics,Michael I. Jordan,2018,22
"Log-linear Models, Extensions, and Applications",Michael I. Jordan,2018,22
On finding local nash equilibria (and only local nash equilibria) in zero-sum games,Michael I. Jordan,2019,19
L-shapley and c-shapley: Efficient model interpretation for structured data,Michael I. Jordan,2018,16
SysML: The New Frontier of Machine Learning Systems,Michael I. Jordan,2019,15
Universal Domain Adaptation,Michael I. Jordan,2019,12
Global Error Bounds and Linear Convergence for Gradient-Based Algorithms for Trend Filtering and ,Michael I. Jordan,2019,10
LS-Tree: Model Interpretation When the Data Are Linguistic,Michael I. Jordan,2019,9
Ray: A Distributed Framework for Emerging {AI} Applications,Michael I. Jordan,2019,9
Acceleration via Symplectic Discretization of High-Resolution Differential Equations,Michael I. Jordan,2019,8
A sequential algorithm for false discovery rate control on directed acyclic graphs,Michael I. Jordan,2019,8
Communication-efficient distributed statistical inference,Michael I. Jordan,2018,8
Improved oracle complexity for stochastic compositional variance reduced gradient,Michael I. Jordan,2018,8
A Dynamical Systems Perspective on Nesterov Acceleration,Michael I. Jordan,2019,7
Cost-Effective Incentive Allocation via Structured Counterfactual Inference,Michael I. Jordan,2019,7
Neural rendering model: Joint generation and prediction for semi-supervised learning,Michael I. Jordan,2018,7
Understanding the acceleration phenomenon via high-resolution differential equations,Michael I. Jordan,2018,7
On the Adaptivity of Stochastic Gradient-Based Optimization,Michael I. Jordan,2019,6
Rao-Blackwellized Stochastic Gradients for Discrete Distributions,Michael I. Jordan,2018,6
Generalized Momentum-Based Methods: A Hamiltonian Perspective,Michael I. Jordan,2019,5
Towards Accurate Model Selection in Deep Unsupervised Domain Adaptation,Michael I. Jordan,2019,5
Is There an Analog of Nesterov Acceleration for MCMC?,Michael I. Jordan,2019,5
Asynchronous Online Testing of Multiple Hypotheses,Michael I. Jordan,2018,5
"Singularity, Misspecification, and the Convergence Rate of EM",Michael I. Jordan,2018,5
On the acceleration of the Sinkhorn and Greenkhorn algorithms for optimal transport,Michael I. Jordan,2019,4
Transferable Adversarial Training: A General Approach to Adapting Deep Classifiers,Michael I. Jordan,2019,4
A Swiss Army Infinitesimal Jackknife,Michael I. Jordan,2019,4
Decoding from pooled data: Sharp information-theoretic bounds,Michael I. Jordan,2019,4
Minmax Optimization: Stable Limit Points of Gradient Descent Ascent are Locally Optimal,Michael I. Jordan,2019,4
Model-based value estimation for efficient model-free reinforcement learning,Michael I. Jordan,2018,4
ML-LOO: Detecting Adversarial Examples with Feature Attribution,Michael I. Jordan,2019,3
-Convex Clustering,Michael I. Jordan,2019,3
Stochastic Gradient Descent Escapes Saddle Points Efficiently,Michael I. Jordan,2019,3
Quantitative Central Limit Theorems for Discrete Stochastic Processes,Michael I. Jordan,2019,3
On efficient optimal transport: An analysis of greedy and accelerated mirror descent algorithms,Michael I. Jordan,2019,3
Competing Bandits in Matching Markets,Michael I. Jordan,2019,2
A short note on concentration inequalities for random vectors with subgaussian norm,Michael I. Jordan,2019,2
Challenges with EM in application to weakly identifiable mixture models,Michael I. Jordan,2019,2
Evaluating Sensitivity to the Stick Breaking Prior in Bayesian Nonparametrics,Michael I. Jordan,2018,2
Decoding from pooled data: Phase transitions of message passing,Michael I. Jordan,2018,2
Local Exchangeability,Michael I. Jordan,2019,1
Simple foliated flows,Michael I. Jordan,2019,1
Wasserstein Reinforcement Learning,Michael I. Jordan,2019,1
